Date,Adj_Close,MA10,MA30,RSI,MACD
2020-02-17,1290.9254150390625,1255.0192626953126,1191.1440673828124,71.91226918812642,5.289502370954331
2020-02-18,1285.9718017578125,1258.4720336914063,1196.0829508463542,70.0458651999763,5.069817239703482
2020-02-19,1304.2166748046875,1263.3520629882812,1202.1743937174479,72.84168345768808,5.575494672306885
2020-02-20,1297.595703125,1269.5857299804688,1207.3862955729167,70.27815538010515,4.909719061250186
2020-02-24,1255.465576171875,1270.0663818359376,1211.5012044270834,56.6227452938797,1.2672988583534206
2020-02-25,1236.04345703125,1270.350830078125,1214.8085001627603,51.64114597073869,-2.603599243569384
2020-02-26,1231.138916015625,1268.82060546875,1217.6858317057292,50.434466990614,-5.482371941832998
2020-02-27,1253.5037841796875,1269.6936157226562,1220.7282836914062,55.53659393203834,-5.835624213795398
2020-02-28,1230.5504150390625,1265.416845703125,1222.7424194335938,49.86351119329873,-7.4662146073067355
2020-03-02,1220.398193359375,1260.5809936523438,1224.553837076823,47.54990791306359,-8.977981207910148
2020-03-03,1223.193603515625,1253.8078125,1226.487862141927,48.26175523527972,-9.48927180286637
2020-03-04,1227.068115234375,1247.9174438476562,1228.9319620768229,49.28905787298313,-9.256187011407022
2020-03-05,1235.1116943359375,1241.0069458007813,1231.5967651367187,51.444527647007675,-8.28160397541011
2020-03-06,1218.877685546875,1233.1351440429687,1232.8555989583333,47.09377048291806,-8.423816949765653
2020-03-09,1180.4749755859375,1225.636083984375,1232.057792154948,38.745955512099464,-10.654116124233873
2020-03-11,1164.9766845703125,1218.5294067382813,1231.202762858073,35.97448323812297,-12.590281913916561
2020-03-12,1056.1937255859375,1201.0348876953126,1227.3363444010417,23.349638164058874,-20.165107366806755
2020-03-13,1063.648681640625,1182.0493774414062,1224.0061604817708,25.28476555421271,-23.413058047058808
2020-03-16,992.0424194335938,1158.1985778808594,1218.5163350423177,20.049014576974727,-28.770883656450025
2020-03-17,981.8900146484375,1134.3477600097656,1212.4101786295573,19.434549598087116,-31.182855647672138
2020-03-18,912.981201171875,1103.3265197753906,1204.0511983235676,15.877588092660929,-35.300608805657085
2020-03-19,886.25146484375,1069.244854736328,1191.8781107584634,14.749877440316737,-37.499425734044465
2020-03-20,887.6246337890625,1034.4961486816405,1179.6183858235677,15.083548829469265,-36.50129445529234
2020-03-23,785.6591796875,991.1742980957031,1164.6317240397136,11.48789304992144,-40.0633373379193
2020-03-24,800.5198364257812,953.1787841796875,1149.6270833333333,14.680124817984137,-38.74999894926498
2020-03-25,863.98486328125,923.0796020507812,1137.3199462890625,26.81882688790681,-31.25957696199238
2020-03-26,910.5779418945312,908.5180236816407,1126.1245056152343,34.21826875176815,-21.29562036481994
2020-03-27,919.1608276367188,894.06923828125,1115.2707438151042,35.51179863665993,-12.68081194779181
2020-03-30,925.6349487304688,887.4284912109375,1103.6813049316406,36.52571275661596,-5.468900263161984
2020-03-31,915.8748168945312,880.8269714355469,1091.918575032552,35.61656904853703,-0.5379247652540045
2020-04-01,918.179931640625,881.3468444824218,1079.4937255859375,36.02160050881752,3.4761161258433617
2020-04-03,846.3282470703125,877.3545227050781,1064.8389404296875,29.74102235733821,1.964581052602398
2020-04-07,929.3623657226562,881.5282958984375,1052.3437967936197,42.26826612897726,6.948931621921744
2020-04-08,896.011474609375,892.563525390625,1038.957655843099,39.24178479389161,8.300232125258702
2020-04-09,994.4946899414062,911.9610107421875,1030.2586263020833,50.51053571420516,15.697996602662158
2020-04-13,948.3919677734375,920.4017211914063,1020.670243326823,46.191544785943556,17.234848859633217
2020-04-15,933.87451171875,922.7313781738281,1010.7614298502605,44.88988512728907,16.9940467343434
2020-04-16,966.440673828125,927.4593627929687,1001.1926595052083,48.402453249190096,18.61770217171876
2020-04-17,956.8768310546875,930.5835510253906,992.0702067057292,47.44604354671069,18.593776790365354
2020-04-20,956.8768310546875,934.6837524414062,983.2861612955729,47.44604354671069,18.106397003283455
2020-04-21,918.8175659179688,934.7475158691407,973.140293375651,43.48078664968089,14.88396069813011
2020-04-22,933.2369384765625,943.4383850097656,963.3459208170573,45.344486427617525,13.431309891140828
2020-04-23,895.1776123046875,940.0199096679687,952.0147847493489,41.458569000154476,9.784396078366093
2020-04-24,888.752685546875,939.2940307617188,941.0106180826823,40.82256313667169,6.949870820846471
2020-04-27,910.038330078125,930.8483947753906,931.9960632324219,43.89344910994293,6.525709230314952
2020-04-28,915.0410766601562,927.5133056640625,923.6648763020834,44.62082748315329,6.580542222565207
2020-04-29,907.7333984375,924.8991943359375,918.7161987304687,43.729017906233985,6.1321043651048015
2020-04-30,951.5308837890625,923.4082153320312,914.9789388020833,50.15855334845713,8.639169784599616
2020-05-04,874.8236694335938,915.2028991699219,911.0716471354167,41.2654489107322,5.157244058642384
2020-05-05,870.0172729492188,906.516943359375,907.3425557454427,40.777585816591994,2.6808508296186986
2020-05-06,859.7178344726562,900.6069702148437,905.5671101888021,39.69460317834245,0.6078592058679142
2020-05-07,832.8898315429688,890.5722595214844,903.788389078776,36.94237594240498,-2.1598182642579857
2020-05-08,816.9501342773438,882.74951171875,901.4325724283855,35.373089497066886,-4.518036245112675
2020-05-11,813.76220703125,875.2504638671875,902.3693400065105,35.052382849115574,-5.671905576619828
2020-05-12,830.29052734375,867.27568359375,903.3616963704427,38.18175109287438,-4.739252491232335
2020-05-13,844.0232543945312,860.1739013671875,902.6963094075521,40.73675533432432,-2.7153053093317396
2020-05-14,829.84912109375,852.3854736328125,900.0053487141927,38.94747400331964,-1.8882166873786659
2020-05-15,829.4566650390625,840.1780517578125,897.0152099609375,38.896531266446516,-0.9708351029469782
2020-05-18,801.697021484375,832.8653869628906,892.883945719401,35.372230540559386,-1.789247539386679
2020-05-19,811.015625,826.9652221679687,889.3886393229167,37.42200173148168,-1.2823943443583588
